instance,pivoting_rule,neighborhood,initial_solution,cost,delta_percent,time_seconds,instance_clean,best_known
N-stabu3_250,best,insert,random,7958992,33.119485,0.405305,N-stabu3_250,11900315
N-stabu3_250,best,insert,cw,9984953,16.095053,0.435034,N-stabu3_250,11900315
N-stabu2_150,first,transpose,random,2779079,35.781523,1.3e-05,N-stabu2_150,4327538
N-stabu2_150,first,transpose,cw,3494341,19.253372,0.000918,N-stabu2_150,4327538
N-stabu2_150,first,exchange,random,2780196,35.755711,1.8e-05,N-stabu2_150,4327538
N-stabu2_150,first,exchange,cw,3494341,19.253372,0.000909,N-stabu2_150,4327538
N-stabu2_150,first,insert,random,2779079,35.781523,0.000344,N-stabu2_150,4327538
N-stabu2_150,first,insert,cw,3494341,19.253372,0.000907,N-stabu2_150,4327538
N-stabu2_150,best,transpose,random,2785797,35.626285,0.000336,N-stabu2_150,4327538
N-stabu2_150,best,transpose,cw,3495854,19.21841,0.001238,N-stabu2_150,4327538
N-stabu2_150,best,exchange,random,2940524,32.05088,0.031681,N-stabu2_150,4327538
N-stabu2_150,best,exchange,cw,3545050,18.081597,0.029767,N-stabu2_150,4327538
N-stabu2_150,best,insert,random,2898821,33.014545,0.053292,N-stabu2_150,4327538
N-stabu2_150,best,insert,cw,3536328,18.283144,0.055431,N-stabu2_150,4327538
N-t59f11xx_250,first,transpose,random,2777522,30.440325,3.8e-05,N-t59f11xx_250,3993006
N-t59f11xx_250,first,transpose,cw,3321180,16.825069,0.004255,N-t59f11xx_250,3993006
N-t59f11xx_250,first,exchange,random,2777691,30.436093,2.3e-05,N-t59f11xx_250,3993006
N-t59f11xx_250,first,exchange,cw,3321245,16.823441,0.004327,N-t59f11xx_250,3993006
N-t59f11xx_250,first,insert,random,2777621,30.437846,2.6e-05,N-t59f11xx_250,3993006
N-t59f11xx_250,first,insert,cw,3320992,16.829777,0.007119,N-t59f11xx_250,3993006
N-t59f11xx_250,best,transpose,random,2787122,30.199905,0.003574,N-t59f11xx_250,3993006
N-t59f11xx_250,best,transpose,cw,3322374,16.795166,0.006891,N-t59f11xx_250,3993006
N-t59f11xx_250,best,exchange,random,2824769,29.257081,0.192181,N-t59f11xx_250,3993006
N-t59f11xx_250,best,exchange,cw,3338941,16.380266,0.204467,N-t59f11xx_250,3993006
N-t59f11xx_250,best,insert,random,2811641,29.585856,0.407955,N-t59f11xx_250,3993006
N-t59f11xx_250,best,insert,cw,3337596,16.41395,0.448009,N-t59f11xx_250,3993006
N-tiw56n66_250,first,transpose,random,3815531,28.952626,4.7e-05,N-tiw56n66_250,5370404
N-tiw56n66_250,first,transpose,cw,4507014,16.076817,0.004155,N-tiw56n66_250,5370404
N-tiw56n66_250,first,exchange,random,3813944,28.982177,2.3e-05,N-tiw56n66_250,5370404
N-tiw56n66_250,first,exchange,cw,4507014,16.076817,0.004238,N-tiw56n66_250,5370404
N-tiw56n66_250,first,insert,random,3813984,28.981432,2.3e-05,N-tiw56n66_250,5370404
N-tiw56n66_250,first,insert,cw,4507014,16.076817,0.007123,N-tiw56n66_250,5370404
N-tiw56n66_250,best,transpose,random,3822342,28.825802,0.003259,N-tiw56n66_250,5370404
N-tiw56n66_250,best,transpose,cw,4507443,16.068828,0.007064,N-tiw56n66_250,5370404
N-tiw56n66_250,best,exchange,random,3859728,28.129653,0.191872,N-tiw56n66_250,5370404
N-tiw56n66_250,best,exchange,cw,4534914,15.557303,0.202436,N-tiw56n66_250,5370404
N-tiw56n66_250,best,insert,random,3842599,28.448605,0.40691,N-tiw56n66_250,5370404
N-tiw56n66_250,best,insert,cw,4524258,15.755723,0.442511,N-tiw56n66_250,5370404
