instance,pivoting_rule,neighborhood,initial_solution,best_known,cost,delta_percent,time_seconds
N-t75k11xx_250,best,insert,random,4093849,3993349,2.454902,1.013159
N-t75k11xx_250,best,insert,cw,4093849,4027267,1.626391,0.848882
N-be75oi_250,first,transpose,random,5910096,3597527,39.129128,0.000024
N-be75oi_250,first,transpose,cw,5910096,5032895,14.842415,0.006443
N-be75oi_250,first,exchange,random,5910096,5777291,2.247087,5.813108
N-be75oi_250,first,exchange,cw,5910096,5760396,2.532954,4.622344
N-be75oi_250,first,insert,random,5910096,5812120,1.657773,4.265537
N-be75oi_250,first,insert,cw,5910096,5811956,1.660548,3.033032
N-be75oi_250,best,transpose,random,5910096,3630610,38.569357,0.000045
N-be75oi_250,best,transpose,cw,5910096,5032673,14.846172,0.006057
N-be75oi_250,best,exchange,random,5910096,5767731,2.408844,0.836057
N-be75oi_250,best,exchange,cw,5910096,5714912,3.302552,0.714709
N-be75oi_250,best,insert,random,5910096,5766979,2.421568,0.830094
N-be75oi_250,best,insert,cw,5910096,5755968,2.607876,0.794775
N-t75k11xx_150,first,transpose,random,1541596,1016667,34.051009,0.000025
N-t75k11xx_150,first,transpose,cw,1541596,1232216,20.068812,0.001091
N-t75k11xx_150,first,exchange,random,1541596,1504846,2.383893,0.458742
N-t75k11xx_150,first,exchange,cw,1541596,1495097,3.016290,0.332119
N-t75k11xx_150,first,insert,random,1541596,1502050,2.565264,0.346512
N-t75k11xx_150,first,insert,cw,1541596,1518005,1.530297,0.220702
N-t75k11xx_150,best,transpose,random,1541596,992357,35.627947,0.000016
N-t75k11xx_150,best,transpose,cw,1541596,1232093,20.076791,0.000928
N-t75k11xx_150,best,exchange,random,1541596,1478407,4.098934,0.079810
N-t75k11xx_150,best,exchange,cw,1541596,1471961,4.517072,0.057372
N-t75k11xx_150,best,insert,random,1541596,1492714,3.170870,0.088427
N-t75k11xx_150,best,insert,cw,1541596,1509805,2.062213,0.103588
N-t59d11xx_250,first,transpose,random,3841167,2731068,28.900045,0.000031
N-t59d11xx_250,first,transpose,cw,3841167,3256840,15.212226,0.004766
N-t59d11xx_250,first,exchange,random,3841167,3736269,2.730889,3.866430
N-t59d11xx_250,first,exchange,cw,3841167,3741020,2.607202,2.991102
N-t59d11xx_250,first,insert,random,3841167,3777797,1.649759,3.923699
N-t59d11xx_250,first,insert,cw,3841167,3762182,2.056276,2.640850
N-t59d11xx_250,best,transpose,random,3841167,2709037,29.473595,0.000050
N-t59d11xx_250,best,transpose,cw,3841167,3257523,15.194445,0.004233
N-t59d11xx_250,best,exchange,random,3841167,3730222,2.888315,0.702678
N-t59d11xx_250,best,exchange,cw,3841167,3703788,3.576491,0.671127
N-t59d11xx_250,best,insert,random,3841167,3766424,1.945841,0.972996
N-t59d11xx_250,best,insert,cw,3841167,3760870,2.090432,0.837118
N-t75d11xx_250,first,transpose,random,25017059,17073039,31.754412,0.000035
N-t75d11xx_250,first,transpose,cw,25017059,21036170,15.912698,0.004848
N-t75d11xx_250,first,exchange,random,25017059,24376900,2.558890,6.507602
N-t75d11xx_250,first,exchange,cw,25017059,24439236,2.309716,4.951203
N-t75d11xx_250,first,insert,random,25017059,24519459,1.989043,5.220331
N-t75d11xx_250,first,insert,cw,25017059,24535938,1.923172,3.320230
N-t75d11xx_250,best,transpose,random,25017059,17306456,30.821381,0.000065
N-t75d11xx_250,best,transpose,cw,25017059,21038902,15.901777,0.004294
N-t75d11xx_250,best,exchange,random,25017059,24421218,2.381739,0.877273
N-t75d11xx_250,best,exchange,cw,25017059,24288145,2.913668,0.866002
N-t75d11xx_250,best,insert,random,25017059,24564471,1.809118,0.976060
N-t75d11xx_250,best,insert,cw,25017059,24483065,2.134519,0.837817
N-tiw56r54_150,first,transpose,random,958192,645867,32.595242,0.000013
N-tiw56r54_150,first,transpose,cw,958192,802129,16.287237,0.001055
N-tiw56r54_150,first,exchange,random,958192,936657,2.247462,0.415223
N-tiw56r54_150,first,exchange,cw,958192,927425,3.210943,0.268458
N-tiw56r54_150,first,insert,random,958192,946034,1.268848,0.447099
N-tiw56r54_150,first,insert,cw,958192,943504,1.532887,0.231611
N-tiw56r54_150,best,transpose,random,958192,633610,33.874422,0.000027
N-tiw56r54_150,best,transpose,cw,958192,802699,16.227750,0.001068
N-tiw56r54_150,best,exchange,random,958192,927825,3.169198,0.084092
N-tiw56r54_150,best,exchange,cw,958192,914344,4.576118,0.071260
N-tiw56r54_150,best,insert,random,958192,938871,2.016402,0.103938
N-tiw56r54_150,best,insert,cw,958192,939999,1.898680,0.095362
N-tiw56n54_250,first,transpose,random,2098726,1452623,30.785486,0.000033
N-tiw56n54_250,first,transpose,cw,2098726,1769814,15.671984,0.006556
N-tiw56n54_250,first,exchange,random,2098726,2035927,2.992244,5.349691
N-tiw56n54_250,first,exchange,cw,2098726,2040803,2.759912,4.425561
N-tiw56n54_250,first,insert,random,2098726,2053461,2.156785,4.450338
N-tiw56n54_250,first,insert,cw,2098726,2063239,1.690883,3.157429
N-tiw56n54_250,best,transpose,random,2098726,1461228,30.375475,0.000068
N-tiw56n54_250,best,transpose,cw,2098726,1769667,15.678988,0.005006
N-tiw56n54_250,best,exchange,random,2098726,2018331,3.830657,0.758994
N-tiw56n54_250,best,exchange,cw,2098726,2027235,3.406400,0.664348
N-tiw56n54_250,best,insert,random,2098726,2043945,2.610203,1.016164
N-tiw56n54_250,best,insert,cw,2098726,2053188,2.169793,0.790064
N-t75d11xx_150,first,transpose,random,9642140,6087546,36.865198,0.000033
N-t75d11xx_150,first,transpose,cw,9642140,7931194,17.744463,0.001269
N-t75d11xx_150,first,exchange,random,9642140,9323726,3.302317,0.466854
N-t75d11xx_150,first,exchange,cw,9642140,9316603,3.376190,0.335199
N-t75d11xx_150,first,insert,random,9642140,9414812,2.357651,0.388072
N-t75d11xx_150,first,insert,cw,9642140,9504936,1.422962,0.357792
N-t75d11xx_150,best,transpose,random,9642140,6503285,32.553510,0.000023
N-t75d11xx_150,best,transpose,cw,9642140,7925523,17.803278,0.001096
N-t75d11xx_150,best,exchange,random,9642140,9337553,3.158915,0.083258
N-t75d11xx_150,best,exchange,cw,9642140,9232263,4.250892,0.087924
N-t75d11xx_150,best,insert,random,9642140,9505812,1.413877,0.119858
N-t75d11xx_150,best,insert,cw,9642140,9422568,2.277212,0.091393
N-be75np_250,first,transpose,random,17814072,12166019,31.705570,0.000059
N-be75np_250,first,transpose,cw,17814072,14807199,16.879201,0.006493
N-be75np_250,first,exchange,random,17814072,17247935,3.178033,5.855308
N-be75np_250,first,exchange,cw,17814072,17410354,2.266287,4.740831
N-be75np_250,first,insert,random,17814072,17436880,2.117382,4.509802
